ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
282167.5	4623.5	608629.5	10569.5	78402.5	177364.5	127006	612089	10473	97467	13440	370275	320971	31700	1085132	118085
209397.5	80651.5	442713.5	6167.5	56484	592308	127770.5	655716.5	16725	41805	30785.5	2597.5	11070.5	158268.5	82379	107331
5052.5	18696.5	423578.5	189215.5	69708.5	412701.5	133048	68091	10017.5	10272.5	80401.5	24617.5	166604	907874	84478	115454
4693	434328	330628.5	71042.5	24891.5	23909.5	21221.5	2377.5	172095.5	39427.5	37300	63845	339896.5	1319146.5	352268	811479
145068	75052	327115.5	13203.5	34159	35277	70367	18197	288767.5	20877.5	25394	4011	4447	782195	268201	185858
138569.5	30305.5	224759.5	24058.5	167559	37517	38151	345231	17212.5	317312.5	198419.5	184391.5	5078	50432	66467	1104469
230681	532	10242	2336	59297	46605	37754	141088	81432.5	337613.5	45671	271742	19229.5	1002896.5	1066158	287419
497766.5	100285.5	242007	354516	257051.5	11282.5	32993.5	57368.5	117984	9810	39490.5	173740.5	18600.5	13534.5	24509.5	2614677.5
717746	37969	275591	1167023	256545.5	8082.5	792868.5	189473.5	134505	34704	4678	30510	26435.5	24513.5	1206875	361802
61325	302688	305842.5	37877.5	66286	1331345	800360.5	215644.5	141879	97121	3452.5	24934.5	27052	3340	7688	94614
66334.5	112371.5	311394	349232	292410	28533	899723.5	37766.5	148237.5	16250.5	10106	253	91316.5	36560.5	16992.5	27243.5
18469.5	51333.5	300918	67902	557247.5	24291.5	67630	858705	147056	51798	1489.5	553541.5	408237.5	45579.5	68654.5	7316.5
12861.5	49705.5	14282	39859	86244.5	33779.5	19601	116841	15351.5	67440.5	14515.5	178744.5	523165.5	106914.5	97201	956784
53110.5	12133.5	8114	13525	196716.5	15796.5	206583	94713	23796.5	9842.5	59110.5	143245.5	27623	13137	44530.5	26643.5
80355.5	420060.5	114627	116877	118206.5	60712.5	4890	2305	88553.5	39117.5	84558.5	54202.5	28294.5	334673.5	26333	5629
24910.5	190517.5	125473	131581	69880.5	170318.5	30991.5	10445.5	25115.5	116931.5	74780	375500	40456	70182	9384	78644
62480	32008	158923.5	625839.5	16070.5	233949.5	36657.5	81904.5	8381	14664	3953.5	2518534.5	76020.5	36527.5	4309	15295
105640.5	18729.5	167511.5	46002.5	19544.5	3057.5	111143	31760	7953	116214	133883	94450	61500	11811	37915	84280
204635.5	54902.5	151663.5	37876.5	67123	172331	132837	300201	2072	283028	92170	3050	21393.5	17314.5	49106	110520
264986.5	357837.5	72147	56197	57202.5	60407.5	160811	55513	15837.5	216321.5	119881	18965	61802.5	13101.5	2307.5	6106.5
58373.5	1122344.5	71893.5	323189.5	13885	1493828	50560	35114	29932.5	459659.5	8062	902	31211.5	7192.5	161390	44475
113096.5	29844.5	71596.5	427402.5	7423.5	7339.5	55459	36713	34528.5	19976.5	64473	26199	43584.5	4766.5	55459	137234
46597	411127	49624	20631	43672	351519	25304.5	92044.5	4110	15827	43707	80571	24692	106074	74026.5	414353.5
71994.5	27278.5	98325.5	30584.5	70118	85917	25982.5	51763.5	7919	12765	25951.5	60080.5	4140.5	795738.5	52746	2776086
27125	64254	131816	28176	2663.5	1384.5	406686	20418	19302	50519	11056	26639	85415.5	86139.5	176911.5	72291.5
125211.5	400534.5	55614.5	35219.5	6489	104490	194714	174019	12505.5	36604.5	22325.5	7566.5	300970	1868219	742917	243327
66790.5	1648973.5	18273	63917	77885.5	252453.5	123283	1003838	19312.5	50835.5	7795.5	690.5	78134.5	58937.5	32335	1857
669.5	75581.5	168413	1263011	19158	40002	257299	473499	174987	10388	14703.5	16652.5	213108.5	3624.5	60179	5999
22994.5	67977.5	104486.5	71886.5	278635	54197	228067.5	33293.5	166440	2722	7370	32561	26551.5	261187.5	347138	3051
126436	28390	77807.5	368388.5	162031.5	158064.5	50617.5	101833.5	29930.5	104109.5	14411	38150	229355	74387	384505.5	85786.5
22991	432050	73793.5	17324.5	36930.5	26086.5	57405	76480	9976	207818	2228	186809	33719.5	710803.5	23463.5	33555.5
246568.5	17246.5	32970.5	674547.5	81287	13652	201393.5	287644.5	116480	16954	17165	206153	587921.5	596048.5	4045	62500
600888.5	5688.5	30960.5	8923.5	473635.5	373408.5	308490	17273	92435.5	196419.5	14750.5	100254.5	12955.5	33431.5	56447	40653
763334	23962	18756	47241	523137	21446	52622.5	793683.5	239310	325323	6204.5	119360.5	8836	56125	278347	54140
1296940	33213	32687.5	146722.5	57635.5	554642.5	168572.5	87783.5	333791.5	210944.5	108550.5	31130.5	33454.5	84956.5	160080	27897
631700.5	46446.5	35909.5	25081.5	386765	168837	153425.5	13731.5	46415	14317	352223.5	17914.5	11216.5	49958.5	27171	359336
202448.5	105181.5	41008.5	562721.5	2603	57888	154272	21517	78387.5	166856.5	10373.5	470415.5	33278.5	224114.5	846418.5	32944.5
186740.5	143144.5	44498	65304	17559	6919	130844	17823	57032	123893	55439	96235	60733	4124	1369423.5	29333.5
1727016.5	74410.5	210568	66555	67602	565230	241295.5	19309.5	20530.5	4286.5	4182	983254	586895	69376	139571	138628
835418	59007	351773.5	570889.5	15697	21684	21288	208965	30062.5	49641.5	88347.5	24325.5	53266	145221	25602	798551
660235.5	8974.5	410435.5	133888.5	16034	14268	24187	139761	22467.5	291090.5	54305	118266	4999.5	12746.5	213115.5	55079.5
306536.5	160349.5	1005764.5	78699.5	111608	18084	197505.5	4950.5	61620	108858	13612.5	10296.5	304465.5	3371.5	42701.5	317834.5
244110	503257	1008357.5	91454.5	19495.5	111432.5	199577	1795785	37570	20680	48725	84180	4019	6999	454675.5	2211.5
101372.5	596336.5	987588.5	13819.5	12583	23539	290224.5	297.5	40263	12617	126070	229433	304263	30822	121096.5	164762.5
17964.5	132226.5	972365	50039	104898	141515	9612.5	30933.5	46588	1078983	16239	13831	94369.5	446523.5	69713.5	94996.5
1030	746124	972275	402479	8711	27413	336362.5	6759.5	56294.5	932.5	59264.5	45086.5	113422.5	9114.5	21785.5	223666.5
4349	21399	764466.5	101865.5	102219.5	450477.5	370066	134452	28295	212607	29033	96999	374186.5	11321.5	729346	2694
5347.5	65055.5	674078	20679	8113.5	11404.5	350460.5	48344.5	21418	622996	23700	82967	120860	175578	59415	516288
7418.5	1647872.5	646752	51303	30601.5	2376.5	452655.5	382266.5	16800	15369	33569.5	72594.5	5017	52046	197505.5	151100.5
172508.5	438055.5	602618	87756	87669	99452	490194	15244	31378	5755	6207	318146	29575	20816	206401	108805
68631	25884	363563	216036	1201267.5	42574.5	288722.5	597248.5	2911.5	43098.5	144169	25914	30803.5	981754.5	157329	378124
11922.5	30625.5	358192.5	32669.5	213113.5	81182.5	15058.5	40624.5	75964	9736	4536.5	19161.5	400973	113793	24267	313732
46352.5	122318.5	50272.5	1400653.5	28371.5	5883.5	6668	818638	121616.5	7273.5	52616.5	42461.5	238750.5	81509.5	847418.5	301487.5
78236.5	943535.5	163202.5	61781.5	8140.5	112502.5	11445	20049	66545	388483	234809	68017	19225.5	109725.5	23822.5	20978.5
12768.5	263366.5	72687.5	10970.5	7857	48706	14716.5	8747.5	83860.5	58693.5	25924.5	18735.5	147854.5	56014.5	34669.5	190809.5
35689.5	24793.5	9335.5	24232.5	41625	80191	690587.5	991963.5	451967	431375	165340	114	428239	19477	27715	12802
24594.5	98083.5	9367	59051	41386	183714	90311	454041	14306	293778	38915	391696	76774.5	165943.5	30303.5	5152.5
161259	3794	36262	52132	92667	138017	65863.5	21338.5	35506.5	6849.5	54136.5	78937.5	28360.5	604.5	2771	247057
