ES_mean_A_No_ES_Enh_only	Rel_exp_A_No_ES_Enh_only	ES_mean_N_No_ES_Enh_only	Rel_exp_N_No_ES_Enh_only	ES_mean_B_No_ES_Enh_only	Rel_exp_B_No_ES_Enh_only	ES_mean_A_ES_NEDE_only	Rel_exp_A_ES_NEDE_only	ES_mean_N_ES_REDE_only	Rel_exp_N_ES_REDE_only	ES_mean_N_ES_NEDE_only	Rel_exp_N_ES_NEDE_only	ES_mean_A_ES_nonEnhTE_only	Rel_exp_A_ES_nonEnhTE_only	ES_mean_A_ES_REDE_only	Rel_exp_A_ES_REDE_only	ES_mean_B_ES_NEDE_only	Rel_exp_B_ES_NEDE_only	ES_mean_N_ES_nonEnhTE_only	Rel_exp_N_ES_nonEnhTE_only	ES_mean_B_ES_nonEnhTE_only	Rel_exp_B_ES_nonEnhTE_only	ES_mean_A_Mixed	Rel_exp_A_Mixed	ES_mean_N_Mixed	Rel_exp_N_Mixed	ES_mean_B_ES_REDE_only	Rel_exp_B_ES_REDE_only	ES_mean_B_Mixed	Rel_exp_B_Mixed	ES_mean_All_A	Rel_exp_All_A	ES_mean_All_B	Rel_exp_All_B	ES_mean_All_N	Rel_exp_All_N
0.014393355	-0.06203414	3.2768815	-0.11398155	-5.2705575		-4.5869081		3.09509005	0.6977183	-3.8542325		2.7781187	-1.0566658	2.939736	0.77328985	3.010872	-0.0659749500000002	3.04355455	-0.17952025	-2.6124749		-4.3189007		1.3051881	7.27383335	2.3584629	-0.6531099	-2.36365535		0.014393355	-0.06203414	-5.2705575	-0.176264649999999	3.2768815	-0.11398155
2.57962855	0.78835685	2.203858	-0.13420565	-3.4157345		0.1115100985	0.3914636715	-2.19581185		1.84667375	-0.66765025	3.102614	0.0948286999999999	-4.03480505		-5.43690335		-5.3		-6.0780965		-4.84907105		4.0737616	0.29008295	3.40428135	0.56438265	-1.7158406		2.57962855	0.78835685	-3.4157345	1.1367025	2.203858	-0.13420565
0.985757225	-0.356149475	-4.4137828		2.38000625	-0.1588676	-5.61267805		2.6342256	0.1900105	-3.99496795		0.71069752	-0.74534013	-1.8696951		-4.5683473		-2.30180465		-5.4697835		-2.006929		2.69030915	0.56591925	-5.5158899		-2.3846178		0.985757225	-0.356149475	2.38000625	-0.1588676	-4.4137828	-0.3282678
3.2237424	-0.7890702	1.6781604	-0.59271465	-3.0287304		-5.0736777		2.1101887	0.00353844999999975	-1.04602605		-4.95856935		-4.2327445		-6.17684765		-6.7225995		-5.39737515		4.57457185	0.4566816	2.9815004	-0.0372232000000001	3.45086945	0.3382293	2.5602051	2.80715007	3.2237424	-0.7890702	3.010872	-0.0659749500000002	1.6781604	-0.59271465
-5.0378325		0.8034212	-0.8869029	2.6720121	-0.660678	-3.62386185		-5.4964393		0.18273288	1.26317333	-5.57610985		2.78448525	-0.29441255	1.2578776	0.970049366	3.38587475	0.6694598	-0.9549479	-5.73788795	-5.2938721		-1.05424835	-2.39243695	1.94185985	0.872567525			-5.0378325	-0.176264700000001	-3.0287304	-0.17626475	0.8034212	-0.8869029
-5.0226302		-0.33935295	-0.95539841	-3.97919095		-1.038612875		1.21784453	-0.80254397	-2.9437972		-1.88159605		-4.3048943		-5.63384265		2.3873893	-0.00533974999999964	-5.7892435		-0.728179625	-1.525589075	-4.83084905		-6.6567265				-5.0226302	-0.75226605	2.6720121	-0.660678	-0.33935295	-0.95539841
4.60819415	0.17979565	-2.21410535	-3.13063408	0.805168	0.51093301	1.6481901	0.737469335	-6.1226535		0.526443035	-0.636794315	0.8479581	4.55314755	-3.81054665		-4.43919515		3.7217092	-0.713452849999999	-5.4697835		2.382452	1.0347798	-1.7356248		-5.18164625				4.60819415	0.17979565	-3.97919095	-0.176264849999999	-2.21410535	-3.13063408
-4.2952067		3.2982166	0.45094375	-5.25633095		-1.7625564	-1.372423565	2.43544885	-0.0855707499999996	-4.25633095		-4.9344033		-5.4009067		-5.2485115		1.55668655	-0.5904654	-3.9907992		-0.59256828	5.70263062	6.4008565	0.284437	-6.4975392				-4.2952067	-0.752266349999999	0.805168	0.51093301	3.2982166	0.45094375
2.09876705	-0.66739905	5.8534305	-0.0681216999999998	2.5695748	2.454310575	-4.906336		2.25475695	0.93845385	-3.39080845		-4.9948555		1.82242745	0.798349575	1.52715365	5.34219675	-3.4300059		-6.6581488		5.42048885	-0.54135765	-2.2928157		-5.2247955				2.09876705	-0.66739905	-5.25633095	-0.176264499999999	3.09509005	0.6977183
1.10639015	-0.971984	1.5877581	-0.28440135	-3.1512144		-5.18963785		-4.7500997		1.74461115	-0.26483115	-5.59016735		0.9629153	0.27101412	-6.0391929		2.3032004	0.6320866	-3.63194155		-3.64717685		-2.2928157		-4.42769955				1.10639015	-0.971984	2.5695748	2.454310575	5.8534305	-0.0681216999999998
