Gene_ID	ESC_REDE	ESC_noclass	TSC_REDE	TSC_noclass	ESC_NEDE	TSC_NEDE	ESC_NonEnh	TSC_NonEnh	ES_E14	ES_J1	TS_EGFP	TS_Rs26	ES_mean	TS_mean	Rel_exp	ES_REDE_only	ES_NEDE_only	ES_nonEnhTE_only	No_ES_Enh_only	All
0610007C21Rik	0	0	0	0	0	0	0	0	-0.16928762	0.19807433	-0.07102032	0.22387531	0.014393355	0.076427495	-0.06203414	FALSE	FALSE	FALSE	TRUE	TRUE
0610007L01Rik	0	0	0	0	0	0	0	0	3.048914	3.504849	3.4973521	3.284374	3.2768815	3.39086305	-0.11398155	FALSE	FALSE	FALSE	TRUE	TRUE
0610007P08Rik	0	0	0	0	0	0	0	0	2.5464234	2.6128337	1.8065797	1.7759637	2.57962855	1.7912717	0.78835685	FALSE	FALSE	FALSE	TRUE	TRUE
0610007P14Rik	0	0	0	0	0	0	0	0	0.95171535	1.0197991	1.2143828	1.4694306	0.985757225	1.3419067	-0.356149475	FALSE	FALSE	FALSE	TRUE	TRUE
0610007P22Rik	0	0	0	0	0	0	0	0	3.0759678	3.371517	4.231806	3.7938192	3.2237424	4.0128126	-0.7890702	FALSE	FALSE	FALSE	TRUE	TRUE
0610008F07Rik	0	0	0	0	0	0	0	0	-5.254558	-4.821107	-5.020939	-4.7021966	-5.0378325	-4.8615678	-0.176264700000001	FALSE	FALSE	FALSE	TRUE	TRUE
0610009B14Rik	0	0	0	0	0	0	0	0	-5.239356	-4.8059044	-5.005737	-3.5349913	-5.0226302	-4.27036415	-0.75226605	FALSE	FALSE	FALSE	TRUE	TRUE
0610009B22Rik	0	0	0	0	0	0	0	0	2.0023193	2.4053967	1.9967507	2.6793766	2.203858	2.33806365	-0.13420565	FALSE	FALSE	FALSE	TRUE	TRUE
0610009D07Rik	0	0	0	0	0	0	0	0	4.626659	4.5897293	4.507852	4.348945	4.60819415	4.4283985	0.17979565	FALSE	FALSE	FALSE	TRUE	TRUE
0610009E02Rik	0	0	0	0	0	0	0	0	-2.8509684	-5.739445	-2.6173491	-4.4685316	-4.2952067	-3.54294035	-0.752266349999999	FALSE	FALSE	FALSE	TRUE	TRUE
0610009L18Rik	0	0	0	0	0	0	0	0	-4.6305084	-4.1970572	-4.244886	-3.926144	-4.4137828	-4.085515	-0.3282678	FALSE	FALSE	FALSE	TRUE	TRUE
0610009O20Rik	0	0	0	0	0	0	0	0	1.8119967	2.3855374	2.7576902	2.774642	2.09876705	2.7661661	-0.66739905	FALSE	FALSE	FALSE	TRUE	TRUE
0610010F05Rik	0	0	0	0	0	0	0	0	1.5365562	1.8197646	1.8041226	2.7376275	1.6781604	2.27087505	-0.59271465	FALSE	FALSE	FALSE	TRUE	TRUE
0610010K14Rik	0	0	0	0	0	0	0	0	0.5064599	1.7063204	2.0043526	2.1523957	1.10639015	2.07837415	-0.971984	FALSE	FALSE	FALSE	TRUE	TRUE
0610010O12Rik	0	0	0	0	0	0	0	0	-0.7456474	-0.657971	-0.33424124	1.5126014	-0.7018092	0.58918008	-1.29098928	FALSE	FALSE	FALSE	TRUE	TRUE
0610011F06Rik	0	0	0	0	0	0	0	0	-2.1498282	-0.30133954	1.4216605	1.1633456	-1.22558387	1.29250305	-2.51808692	FALSE	FALSE	FALSE	TRUE	TRUE
