TS_REDE_es_mean	TS_REDE_ts_mean	TS_REDE_Rel_exp	TS_NEDE_es_mean	TS_NEDE_ts_mean	TS_NEDE_Rel_exp	TS_nonEnhTE_es_mean	TS_nonEnhTE_ts_mean	TS_nonEnhTE_Rel_exp	No_TS_Enh_es_mean	No_TS_Enh_ts_mean	No_TS_Enh_Rel_exp	es_mean	ts_mean	Rel_exp
1.6620288	1.75065805	-0.0886292500000001	0.985757225	1.3419067	-0.356149475	3.2982166	2.84727285	0.45094375	0.014393355	0.076427495	-0.06203414	0.014393355	0.076427495	-0.06203414
-1.42059185	1.03237695	-2.4529688	0.8034212	1.6903241	-0.8869029	-4.1952696	-4.0190047		3.2768815	3.39086305	-0.11398155	3.2768815	3.39086305	-0.11398155
3.1065912	3.359532	-0.2529408	-1.038612875	-5.9355263		-1.15634735	-5.04853085		2.57962855	1.7912717	0.78835685	2.57962855	1.7912717	0.78835685
2.6720121	3.3326901	-0.660678	0.805168	0.29423499	0.51093301	-4.8247359	-4.6484709		3.2237424	4.0128126	-0.7890702	0.985757225	1.3419067	-0.356149475
-5.53578965	-6.9355267		-4.906336	-2.0691071		-4.3048943	-3.55262765		-5.0378325	-4.8615678		3.2237424	4.0128126	-0.7890702
-4.75653605	-3.4282683		1.15014345	0.86644898	0.28369447	3.8107915	3.833064	-0.0222725000000001	-5.0226302	-4.27036415		-5.0378325	-4.8615678	
-4.234465	-3.6801628		-2.0310307	0.194106275	-2.225136975	-0.131776797	-1.86560155	1.733824753	2.203858	2.33806365	-0.13420565	-5.0226302	-4.27036415	
-1.3867587	-3.29042955		1.13248955	2.08517485	-0.9526853	1.49030355	1.6407677	-0.15046415	4.60819415	4.4283985	0.17979565	2.203858	2.33806365	-0.13420565
-3.5236915	-3.34742665		-4.562052	-4.3857872		-4.51887795	-4.05013205		-4.2952067	-3.54294035		4.60819415	4.4283985	0.17979565
-5.4009067	-5.224642		-4.5870705	-3.04232275		3.6730215	3.5647797	0.1082418	-4.4137828	-4.085515		-4.2952067	-3.54294035	
0.280543575	0.86714646	-0.586602885	-5.337204	-5.160939		-3.3518015	-5.73903225		2.09876705	2.7661661	-0.66739905	-4.4137828	-4.085515	
1.9314099	3.2458766	-1.3144667	-4.3518755	-4.1756108		-6.3499081	-7.98661075		1.6781604	2.27087505	-0.59271465	2.09876705	2.7661661	-0.66739905
-2.1026938	-4.8504276		-4.12622785	-2.657482		-5.39487455	-5.87061285		1.10639015	2.07837415	-0.971984	1.6781604	2.27087505	-0.59271465
-6.4079442	-6.23167975		-1.6123814	-5.342017		2.97921425	3.7681711	-0.78895685	-0.7018092	0.58918008	-1.29098928	1.10639015	2.07837415	-0.971984
1.77232975	2.1719805	-0.39965075	-4.94734215	-4.7710774		-6.66109635	-6.4848317		-1.22558387	1.29250305	-2.51808692	-0.7018092	0.58918008	-1.29098928
-7.6701495	-6.41788335		-0.240029705	0.268084613	-0.508114318	-6.3932438	-6.2169792		1.0122172	1.64819685	-0.63597965	-1.22558387	1.29250305	-2.51808692
-6.5875871	-5.83532075		4.97596145	3.5410486	1.43491285	-0.32733957	0.86407163	-1.1914112	-4.1925553	-2.86428735		1.0122172	1.64819685	-0.63597965
-6.02186585	-5.8456011		1.7852318	2.54164315	-0.75641135	2.8606218	2.9769524	-0.1163306	-5.7436133	-5.5673488		-4.1925553	-2.86428735	
-5.09127185	-4.91500725		2.8484996	2.8706085	-0.0221088999999997	2.7307155	3.7317398	-1.0010243	-5.2705575	-5.09429285		-5.7436133	-5.5673488	
