NEDE Nearest.dist	NEDE Chicago.dist	NEDE Gothic.dist
10473	164137	48529
16725	152924	21503
10017.5	85877	261121
17212.5	9100	13041
81432.5	496402	47154
15351.5	43782	33522
23796.5	47153	28345
88553.5	117207	88141
25115.5	132616	23439
8381	150209	33185
7953	225279	132616
2072	225001	39490
15837.5	232424	150209
29932.5	19012	21058
34528.5	200522	48318
4110	217995	119034
7919	330108	9126
19302	488225	79512
12505.5	9126	187707
19312.5	79512	7447
29930.5	7447	34627
9976	94110	76725
92435.5	82964	39539
46415	187323	135008
78387.5	144522	41724
57032	108971	9720
20530.5	101405	56224
30062.5	36782	88228
22467.5	108362	66045
61620	7277	98049
37570	35265	1
40263	253927	49152
46588	56193	94110
56294.5	116353	40722
28295	91601	46875
21418	241957	26669
16800	192091	23446
31378	65194	14124
2911.5	93070	25196
75964	145769	29568
66545	196397	32036
83860.5	160158	27652
14306	31159	84066
35506.5	187691	214952
3268	1542	108971
20501	133742	48305
24616.5	144220	36782
28022	139728	12917
9222	132424	17319
28082	125683	47105
16065.5	107945	108362
3822	33757	19109
1414.5	101026	167860
839.5	127466	45683
31527.5	94887	42095
57134.5	136213	24995
25183	152807	16132
70235.5	9797	9949
46335	378110	218663
39239.5	352264	56193
22059.5	120093	28162
13285	34914	23064
86168.5	3608	159
65405	244893	116353
1565	176214	175981
60066.5	114700	91601
83050	100836	190975
7374.5	287136	18040
42057.5	237625	18040
51401	393828	72248
50114.5	274064	241957
40280.5	240180	1
47438	260662	3514
31876	80668	284600
19911.5	15239	88046
6596.5	75106	54690
16603	32036	40536
13144	92142	76075
2995.5	4354	192091
34986	324742	50695
13451	307571	65194
28482	290895	172264
93803	270708	30755
9453.5	256388	76424
45615	250454	6732
55558	232231	29001
56117	227527	153261
8517.5	202519	196397
8871	188316	53406
6154.5	166547	179043
21564	159803	119270
6967.5	131566	160158
18939.5	127511	31159
12478.5	112540	58692
13566.5	92404	187691
5144.5	37456	41020
97698	70951	1542
94935	80741	133742
75112.5	225160	32648
22623	161383	140248
58987.5	151629	96412
44598.5	149638	74760
3182	71137	57025
70455.5	69413	39579
72995.5	63504	204002
63499.5	61780	22657
71334.5	1725	46509
48608	122369	17895
47961.5	160017	17950
22940.5	160017	44028
21620.5	160017	117113
6061	5033	139728
89962	124420	125683
8188.5	86461	15155
79430	260936	24729
31282.5	7255	107945
55918.5	86412	8519
11068.5	166396	23613
36200	76575	57685
13769.5	142728	52802
27514.5	128004	101026
66206	125055	33757
44800	64408	127466
87720	40664	94887
34112	110097	64978
34050	25254	12187
4065.5	238004	30304
8440	107159	103742
13805.5	26670	23438
39785.5	6392	13144
13638	63342	87554
29804	120030	56695
2645	82425	36469
11151	52723	1
34478	1714	7762
94179	21738	56648
4449	174443	47689
2145	86153	39831
26107	145000	152807
24339	90133	9797
11796	208289	39829
13841.5	881460	378110
69461.5	75560	120093
11246.5	2162	14278
10782.5	11742	84611
4495.5	54788	44731
958.5	175670	29457
45059	68590	20018
42468.5	15901	108541
5655	143969	1
11868	192532	11300
53748.5	196867	34914
11137	15220	23615
3699	78040	32589
6707	73705	85052
28535.5	359436	10596
17988.5	248290	8329
23506	47603	69090
5359.5	110601	39660
26454.5	147281	203145
10358.5	315813	3608
13677.5	97043	9178
81743	415875	30205
3759.5	386466	52258
28934	842	12033
24563.5	300033	68196
19860.5	8366	120826
84764	43397	96887
60914	101878	176214
42873	4499	15219
10536.5	21899	370
47270.5	873888	114700
7844.5	547297	100836
1967.5	178154	27596
3546	31636	31990
22798.5	76334	67061
26917.5	96708	123679
35782	149819	1838
12167.5	127404	170504
14083	543749	25812
21902	183551	63193
5384	249371	50197
12872	97641	7977
1914.5	70106	31310
5017.5	138228	50604
5084	129548	6303
22184	888503	393828
13585	842747	64875
10735.5	138636	46364
6270	138636	16081
25131.5	138636	223016
54942.5	138636	274064
40606	77523	22171
6690.5	77523	8658
41961.5	133002	57769
40598	154425	31911
37682.5	190344	98362
10648	239733	48555
20711	150460	133719
9847.5	5027	25288
16887.5	329600	34403
11892.5	374681	51758
16385.5	270274	11825
16686.5	65675	9295
11621	627848	44085
18089	642946	134346
6119	110195	96290
7012.5	110195	168721
4511.5	100299	120277
13238	104795	10421
60407.5	104795	77576
12796	73895	13464
9869.5	73895	9902
7705	37720	9811
11947.5	37720	9902
9136	304370	49612
6381.5	73067	113236
16951	5284	49612
5439.5	12639	32595
7336.5	4966	5170
19971	7375	32036
30629.5	165597	92142
21799	333250	82963
45823	150319	56060
13363.5	224006	27244
62051.5	167491	18857
99340.5	62380	647
37458.5	1490449	4354
93287	123594	81173
92777	18483	178356
1899	54940	119692
3572	23638	44840
12883.5	41129	29926
43408.5	63530	14972
41972	32948	1
42365	88260	11492
2037.5	121143	62278
15379.5	300471	108332
13834	66311	159102
50497.5	183223	203947
12512.5	211258	80741
76633.5	3499	636479
45070.5	207383	56133
14641.5	232638	325323
42011	454407	97918
6529.5	72201	109774
39683	372228	65905
78099.5	372228	102005
32273	148272	5368
10566	3150	100197
17161	126530	90582
53804	86084	26629
16022	134379	64083
