REDE Nearest.dist	REDE Chicago.dist	REDE Gothic.dist
5052.5	27630	50708
4693	61976	11573
61325	169867	81680
66334.5	24462	154811
18469.5	34767	255165
12861.5	30863	14129
53110.5	75616	31722
80355.5	140802	5732
24910.5	348679	31754
62480	128350	65866
58373.5	148130	30863
46597	134338	7661
71994.5	34406	275618
27125	1131	75616
66790.5	167554	16067
669.5	151629	16067
22994.5	149638	38670
22991	50418	38670
17964.5	68740	21519
1030	220288	14869
4349	78426	128350
5347.5	50145	119087
7418.5	49460	6590
68631	88088	50974
11922.5	235643	59181
46352.5	28448	59181
78236.5	229795	7714
12768.5	229795	148130
35689.5	4962	127294
24594.5	142632	34406
14158.5	31885	1131
35529	339438	4449
93195.5	136224	29532
54071	250232	17192
5895	103938	91623
10547	152819	7117
70617.5	81985	18815
8234	28437	11355
33278.5	119663	54711
54349.5	60520	139
85162	220576	14548
56333.5	153986	35440
44469	15466	202774
1907.5	143073	272059
2785.5	99472	152581
15313.5	330877	27000
27737	122832	151629
69684	199124	149638
83417	154981	50418
69087.5	251435	102043
4946.5	146672	10710
13384	61938	71372
38372.5	744	48458
46591	744	37195
53992	44889	14532
31775	50769	6410
56706.5	196016	123757
26180	209121	21933
12233.5	75703	1900
46599.5	60254	68740
45986	5516	78426
19303.5	534604	31701
65499	229740	10484
22217	186787	103980
34649	13241	3240
99540	10251	21310
5172	28896	15336
41325		35695
49815.5		21050
8282.5		120145
32790		28448
29046.5		184858
10090.5		25860
34153.5		229795
66161		229795
7496		6574
9769		6574
13745		1
50975		1
4514.5		263025
7062		57087
74903.5		57087
45548.5		4702
5544		59890
32332.5		29926
89873		67591
22567		36920
9349.5		4013
5667.5		4962
21474		17656
15072		21451
2490		38629
30551		35965
22252		34389
46901		66949
8032.5		14678
12850		43146
36328.5		6778
33964		59336
47643.5		60673
48358		49612
28769		35275
27426		30998
58842.5		15484
6868.5		31885
1230.5		39651
872		250232
3889		103938
10703.5		35064
19181.5		12582
16955.5		44037
12519.5		114367
16459		33873
27311.5		21661
55372.5		36996
3229		218386
92239.5		109541
26834		81985
13874		31737
80636.5		15344
18834		36805
17196.5		28272
86116		106194
36174.5		70003
13286.5		14135
34892.5		233416
39651		37908
39612		8650
6963.5		8650
17947.5		7107
14691		18475
6058.5		2876
40285.5		28437
11929		92166
1663.5		96035
20740		7039
21830		114162
64203		13679
24400.5		13679
68768.5		18515
8571.5		39246
35188.5		39246
1215.5		134177
7029.5		70440
6408.5		127163
45305		127163
4798		99013
24460		24866
51134		60520
21404.5		68225
3865.5		27644
11884.5		13398
12719		20725
15351.5		50441
4678		31329
3727.5		16363
12589		4217
4665.5		6332
15759.5		17878
15619.5		7426
26561.5		153986
15619.5		15466
18775		52911
3965.5		116919
12770.5		8424
12984.5		143073
63069		158819
81605.5		34416
51649.5		7878
36633		24799
22273		7253
5106		93471
7767		81562
30375		41216
32821.5		12695
93541		18835
48764		58372
27615.5		81272
8085		108877
30872		24301
25353		1962
28481.5		14992
4598		49683
8580		24109
82357.5		14846
5972.5		36796
5177.5		7886
2187.5		109
4041.5		3026
37193		9781
19934		1018
33016		35985
15779		52365
28900.5		29785
89633.5		53161
78486.5		7889
63871		65396
42874		83041
1451		17645
10961.5		61898
18469		8072
39904		15647
32313.5		25184
21962		1753
30069.5		8114
17379.5		1142
38524		154981
24531.5		259744
73944.5		251435
21292.5		146672
10998.5		201736
41109		16100
28397.5		16064
60941.5		1166
62964		74773
16543.5		5674
80355		24031
2978		9498
7991		1
43670		36422
30441		3769
87389.5		114312
40395.5		7901
40158.5		32383
4619.5		29159
9423.5		40388
99639.5		33852
32540		10558
15108		114199
14880		61938
55624.5		11373
20293.5		688
12087.5		14626
12007		70382
5377.5		9462
11496		31637
88570		4399
5128		14181
35617		64933
18796.5		1
43617.5		1378
28263		744
19570		744
18995		859
4616		1990
5366.5		7033
8563.5		24676
19051.5		1378
26280.5		15063
20284		26428
90498.5		6182
37746.5		62103
81392		69351
41852.5		1
29055.5		17294
7889.5		79081
8038.5		1
7947		82144
18268		19245
38658.5		18602
55566.5		8375
5684.5		47101
27496.5		66157
44762.5		40772
6542		14273
21435		50769
21928.5		91364
30020		28018
21969		28018
92298		18374
69340		18374
41697		56270
42637		56270
35891.5		71204
17194.5		71204
51395.5		807
8371		10161
82417		47586
61429.5		60254
53844.5		1168
96634.5		5516
96279.5		16423
51824		1064
51795.5		75912
17462.5		15737
36458		5243
3058.5		19600
22227.5		1
72115		116068
95114		48742
37933		4278
12246		39123
14223.5		17539
40997		23664
26036		136872
9721.5		19392
60110		16866
18134		10251
37757.5		32104
4398.5		49454
10107		80225
4991		28896
43411		20885
10129.5		15620
11075		31137
18105		63025
56331.5		38889
17809.5		45053
58732		15906
35507.5		1
24090		23508
53030		
5388.5		
63991.5		
25943		
7613.5		
40292.5		
90643		
52211		
11691.5		
98324.5		
28591		
55793		
90260		
15456.5		
26603		
26813		
27482		
69871.5		
26689		
91436		
63995		
17918		
18729		
18865.5		
99607.5		
13313.5		
28207		
13057.5		
16000.5		
1947		
10221		
9866		
3565		
3500		
3480		
56385.5		
9240.5		
61623.5		
17969		
37308		
89278		
5833		
27839		
