MM4	MM3	MM2	MM1	MM0
.	67	4	0	0	0
(GA)n	1	0	0	0	0
AT_rich	1	0	0	0	0
B1_Mm	1	0	0	0	0
B1_Mur2	1	0	0	0	0
B1_Mus1	0	1	0	0	0
B1_Mus2	1	0	0	0	0
B3A	3	0	0	0	0
B4	2	0	0	0	0
ID_B1	1	0	0	0	0
L1_Mus1	0	0	1	0	0
L1_Mus3	1	0	0	0	0
L1M5	0	1	0	0	0
L1MB8	1	0	0	0	0
L1MC3	1	0	0	0	0
L1ME2z	1	0	0	0	0
LTR73	1	0	0	0	0
Lx4B	1	0	0	0	0
Lx8	1	0	0	0	0
MER21C	1	0	0	0	0
MLT1B	1	0	0	0	0
MLT1C	1	0	0	0	0
MLT1J	1	0	0	0	0
MTE2a	1	0	0	0	0
MTEa	0	1	0	0	0
MuRRS4-int	1	0	0	0	0
ORR1C2	2	0	0	0	0
ORR1D1	2	0	0	0	0
ORR1D2	1	0	0	0	0
PB1D10	1	0	0	0	0
PB1D9	1	0	0	0	0
RLTR13C1	5	4	2	4	3
RLTR13C3	0	2	2	12	10
RLTR13D	1	2	1	3	1
RLTR13D1	0	0	0	1	5
RLTR13D2	2	3	12	15	18
RLTR13D3	13	20	26	6	7
RLTR13D3A	9	8	23	16	22
RLTR13D4	0	0	0	1	0
RLTR13D6	6	26	90	222	153
RLTR13E	0	1	4	1	0
RLTR13G	3	10	28	75	42
RLTR28	2	0	0	0	0
RLTR35B_MM	1	0	0	0	0
RMER17A	1	0	0	0	0
