target.ID	ESC_REDE	ESC_noclass	TSC_REDE	TSC_noclass	ESC_NEDE	TSC_NEDE	ESC_NonEnh	TSC_NonEnh
chr1-100867985-100875044	0	0	0	1	0	0	0	0
chr1-100875045-100879830	0	0	0	0	1	0	0	0
chr1-102313798-102317756	0	1	0	0	0	0	0	0
chr1-102381603-102384286	0	1	0	0	0	0	0	0
chr1-102392966-102398206	0	1	0	0	0	0	0	0
chr1-102871589-102874574	0	0	0	1	0	0	0	0
chr1-102939175-102950680	0	1	0	0	0	0	0	0
chr1-103172568-103182732	0	0	0	1	0	0	0	0
chr1-10394443-10396318	0	1	0	0	0	0	0	0
chr1-104778066-104781971	0	0	0	1	0	0	0	0
chr1-10510130-10514457	0	0	0	1	0	0	0	1
chr1-105535322-105542466	0	0	0	1	0	0	0	0
chr1-106196087-106208351	0	0	0	0	1	0	0	0
chr1-10643960-10647982	0	1	0	0	0	0	0	0
chr1-107563036-107571660	0	2	0	0	0	0	2	0
chr1-10869903-10873767	0	0	0	1	0	0	0	0
chr1-10873768-10877296	0	2	0	0	0	0	0	0
chr1-10956191-10961822	0	1	0	0	0	0	0	0
chr1-109699913-109703545	0	1	0	0	0	0	0	0
chr1-11141631-11152136	0	0	0	0	1	0	0	0
chr1-11307120-11318476	0	1	0	0	0	0	0	0
chr1-11323985-11331577	1	0	0	0	0	0	0	0
chr1-11398549-11401684	1	0	0	0	0	0	0	0
chr1-11466403-11471553	1	0	0	0	0	0	0	0
chr1-11526475-11529997	0	1	0	0	0	0	0	0
chr1-118404121-118411300	0	0	0	0	1	0	0	0
chr1-119270742-119272681	0	0	0	0	0	1	0	0
chr1-121453718-121465187	0	0	0	1	0	0	0	0
chr1-123314052-123316817	0	0	0	2	0	0	0	0
chr1-126352338-126358001	0	0	0	1	0	0	0	0
chr1-12750648-12755824	0	0	0	0	1	0	0	0
chr1-127518682-127523394	0	1	0	0	0	0	0	0
chr1-12755825-12765311	0	0	0	0	1	0	0	0
chr1-127995183-128004305	1	0	0	0	0	0	0	0
chr1-12810444-12821947	0	0	0	0	1	0	0	0
chr1-132157205-132164433	0	0	0	0	1	0	0	0
chr1-132246294-132247227	0	0	0	1	0	0	0	0
chr1-132247228-132250004	0	0	0	3	0	0	0	0
chr1-132263639-132282920	1	0	0	0	0	0	0	0
chr1-13228283-13236567	0	0	0	0	0	1	0	0
chr1-132284618-132295033	0	0	0	0	1	0	0	0
chr1-132338380-132346167	0	0	0	0	1	0	0	0
chr1-13239221-13247882	0	0	0	0	0	1	0	0
chr1-132848032-132858509	0	0	0	0	1	0	0	0
chr1-135189871-135196273	0	1	0	0	0	0	0	0
chr1-135635595-135638932	0	0	0	0	1	0	0	0
chr1-136533570-136535518	0	1	0	0	0	0	0	0
chr1-136612330-136615358	0	0	0	0	1	0	0	0
chr1-137170678-137175028	0	0	0	0	1	0	0	0
chr1-137578999-137582513	0	0	1	0	0	0	0	0
chr1-138857204-138861824	0	0	1	0	0	0	0	0
chr1-139412547-139413426	1	0	0	0	0	0	0	0
chr1-13999304-14005018	0	0	0	0	1	0	0	0
chr1-140434742-140440071	0	0	0	0	1	0	0	0
chr1-143745876-143756007	0	0	0	0	0	1	0	0
chr1-144140747-144143378	0	0	0	1	0	0	0	0
chr1-144466949-144468566	0	1	0	0	0	0	0	0
chr1-144776025-144784697	0	1	0	0	0	0	1	0
chr1-144903403-144908355	0	1	0	0	0	0	0	0
chr1-144929946-144930844	0	0	0	1	0	0	0	1
chr1-146330216-146340161	0	0	0	1	0	0	0	0
chr1-146421544-146428669	1	0	0	0	0	0	0	0
chr1-14733216-14735035	0	1	0	0	0	0	1	0
chr1-149624101-149626231	0	1	0	0	0	0	0	0
chr1-150111936-150123018	0	0	0	0	1	0	0	0
chr1-150469000-150474090	0	1	0	0	0	0	0	0
chr1-150507945-150515130	0	1	0	0	0	0	0	0
chr1-151140168-151154349	0	0	2	0	0	0	0	0
chr1-151219108-151226465	0	1	0	0	0	0	0	0
chr1-151873513-151883914	0	0	0	0	1	0	0	0
chr1-152914031-152917298	0	0	0	0	1	0	0	0
chr1-152937447-152944264	1	1	0	0	0	0	0	0
chr1-153033446-153042963	0	0	0	0	1	0	0	0
chr1-153287422-153288954	0	0	0	0	1	0	0	0
chr1-153495328-153500843	0	1	0	0	0	0	0	0
chr1-153608643-153613209	0	0	0	1	0	0	0	1
chr1-154105302-154111843	0	1	0	0	0	0	0	0
chr1-154233842-154237175	0	0	1	1	0	0	0	1
chr1-155054790-155056112	0	0	0	0	1	0	0	0
chr1-155084725-155088116	0	0	0	0	1	0	0	0
chr1-155249482-155258288	0	1	0	0	0	0	0	0
chr1-156250800-156252570	1	0	0	0	0	0	0	0
chr1-156400919-156404117	0	1	0	0	0	0	0	0
chr1-156404256-156410357	0	1	0	0	0	0	1	0
chr1-156564968-156567298	0	0	0	0	1	0	0	0
chr1-156614119-156620686	0	0	0	0	1	0	0	0
chr1-156992240-156999333	0	0	0	0	1	0	0	0
chr1-15722735-15732851	0	1	0	0	0	0	1	0
chr1-158386221-158392443	0	0	0	0	1	0	0	0
chr1-158966150-158971606	0	1	0	0	0	0	0	0
chr1-159149004-159155473	0	1	0	0	0	0	0	0
chr1-15959871-15965966	0	1	0	0	0	0	0	0
chr1-162348765-162363966	0	1	0	0	0	0	0	0
chr1-163163215-163166545	1	0	0	0	0	0	0	0
chr1-163286582-163292846	0	0	0	0	0	1	0	0
chr1-164010471-164021982	0	1	0	0	1	1	0	0
chr1-164550668-164562222	0	0	0	0	1	0	0	0
chr1-165625040-165630702	0	0	0	0	0	1	0	0
chr1-165860953-165864552	0	0	0	0	1	0	0	0
chr1-166964566-166968363	0	0	0	0	1	0	0	0
chr1-167494816-167500317	0	0	0	0	1	0	0	0
chr1-168206151-168214499	0	0	0	0	1	0	0	0
chr1-170235420-170239460	0	0	0	1	0	0	0	0
chr1-171058330-171061885	0	1	0	0	0	0	0	0
chr1-171133337-171138120	1	0	0	0	0	0	0	0
chr1-171298050-171302408	0	1	0	0	0	0	0	0
chr1-171306867-171313469	0	1	0	0	0	0	0	0
chr1-171475694-171491122	0	0	0	0	1	0	0	0
chr1-171538652-171554066	0	1	0	0	0	0	1	0
chr1-171887118-171891130	0	0	0	1	0	0	0	0
chr1-171895892-171903895	0	1	0	0	0	0	0	0
chr1-171903896-171906856	0	1	0	0	0	0	0	0
chr1-17248453-17251846	1	0	0	0	0	0	0	0
chr1-173164791-173165895	0	1	0	0	0	0	0	0
chr1-173347471-173349317	0	0	0	0	1	0	0	0
chr1-174056726-174059727	0	1	0	0	0	0	0	0
chr1-17542701-17549608	0	0	0	1	0	0	0	1
chr1-175427877-175431547	0	0	0	0	0	1	0	0
chr1-175870347-175875616	0	1	0	0	0	0	1	0
chr1-176026740-176030108	0	1	0	0	0	0	0	0
chr1-178270061-178272082	0	1	0	0	0	0	0	0
chr1-178284459-178289446	0	1	0	0	0	0	0	0
chr1-178289447-178305454	0	2	0	0	0	0	2	0
chr1-178692013-178695215	0	1	0	0	0	0	0	0
chr1-179566191-179570922	0	0	0	0	1	0	0	0
chr1-179627448-179628978	0	0	0	0	1	0	0	0
chr1-179719281-179730000	0	1	0	0	0	0	0	0
chr1-180278766-180283830	0	0	0	0	1	0	0	0
chr1-180283831-180287418	0	0	0	0	1	0	0	0
chr1-18029012-18031790	0	1	0	0	0	0	0	0
chr1-180921493-180931762	0	0	0	0	1	0	0	0
chr1-181029913-181031237	0	1	0	0	0	0	1	0
chr1-18169165-18172274	0	1	0	2	0	0	0	1
chr1-182079122-182089208	0	0	0	0	1	0	0	0
chr1-182159367-182164048	0	1	0	0	1	0	0	0
chr1-182182097-182183807	1	0	0	0	0	0	0	0
chr1-182205989-182213865	0	0	0	2	0	0	0	1
chr1-182292908-182299700	0	1	0	0	0	0	0	0
chr1-18244275-18246869	0	1	0	0	0	0	1	0
chr1-182644862-182660225	0	2	0	0	0	0	0	0
chr1-18265187-18270381	0	1	0	0	0	0	0	0
chr1-183957191-183975734	0	1	0	0	0	0	0	0
chr1-185093941-185105714	0	0	0	0	1	0	0	0
chr1-186232238-186242505	0	0	0	0	1	0	0	0
chr1-186504267-186511133	0	0	0	0	1	0	0	0
chr1-186564435-186565298	0	0	0	0	1	0	0	0
chr1-187075970-187077334	0	0	0	1	0	0	0	1
chr1-187127084-187129215	0	1	0	0	0	0	0	0
chr1-187163303-187165996	0	1	0	0	0	0	0	0
chr1-188654371-188672695	0	0	0	0	1	0	0	0
chr1-189022055-189026784	0	1	0	0	0	0	0	0
chr1-191008843-191011388	0	1	0	0	0	0	1	0
chr1-192173437-192177964	0	1	0	0	0	0	1	0
chr1-193534645-193543077	0	0	0	0	2	0	0	0
chr1-193588853-193594849	0	0	0	0	1	0	0	0
chr1-20843070-20851044	0	0	0	0	0	1	0	0
chr1-22738664-22746449	0	1	0	0	0	0	0	0
chr1-22992478-23003561	0	1	0	0	0	0	0	0
chr1-24101498-24111705	0	0	0	0	0	1	0	0
chr1-26890946-26892878	0	1	0	0	0	0	0	0
chr1-28924553-28938045	0	1	0	0	0	0	0	0
chr1-31102836-31113497	0	2	0	0	0	0	0	0
chr1-31303724-31309708	0	1	0	0	0	0	1	0
chr1-31632040-31635366	0	0	0	1	0	0	0	1
chr1-31677190-31691889	0	1	0	0	0	0	0	0
chr1-3246776-3250345	0	1	0	0	0	0	0	0
chr1-33036473-33041710	0	0	0	1	0	0	0	0
chr1-33376988-33383543	0	0	0	1	0	0	0	0
chr1-33828789-33839223	0	2	0	0	0	0	0	0
chr1-34001542-34003920	0	0	0	0	1	0	0	0
chr1-3444834-3448249	0	1	0	0	0	0	0	0
chr1-34614092-34623636	0	0	0	1	0	0	0	0
chr1-34833878-34842019	0	0	0	0	1	0	0	0
chr1-34992590-34995712	0	1	0	0	0	0	0	0
chr1-35016670-35024922	0	1	0	0	0	0	0	0
chr1-3591638-3593649	0	0	1	0	0	0	0	0
chr1-36603753-36613983	0	0	0	0	1	0	0	0
chr1-36720339-36725320	0	0	0	1	0	0	0	1
chr1-3679329-3682170	0	1	0	0	0	0	0	0
chr1-36855358-36860971	0	0	0	0	1	0	0	0
chr1-37203124-37208067	0	1	0	1	0	0	0	1
chr1-37668405-37672494	0	0	0	0	1	0	0	0
chr1-3794634-3801895	0	0	0	2	0	0	0	0
chr1-38052025-38059276	0	0	0	0	1	0	0	0
chr1-3945961-3947143	0	1	0	0	0	0	0	0
chr1-39553061-39557235	0	0	0	0	0	1	0	0
chr1-42864395-42866403	0	1	0	0	0	0	0	0
chr1-43166640-43168699	0	0	0	0	0	1	0	0
chr1-43201346-43203265	0	0	0	0	0	1	0	0
chr1-43937678-43947437	0	1	0	0	0	0	0	0
chr1-4394091-4397662	0	1	0	0	0	0	0	0
chr1-4398370-4401406	0	1	0	0	0	0	0	0
