Bait_ID	ESC_REDE	ESC_noclass	TSC_REDE	TSC_noclass	ESC_NEDE	TSC_NEDE	ESC_NonEnh	TSC_NonEnh
chr1-10006483-10014224	0	0	0	0	0	0	0	0
chr1-100251277-100253374	0	0	0	0	0	0	0	0
chr1-10031137-10039429	0	0	0	0	0	0	0	0
chr1-100858496-100862831	0	0	0	1	1	0	0	0
chr1-102103625-102109021	0	1	0	0	0	0	0	0
chr1-10231639-10233709	0	0	0	0	0	0	0	0
chr1-102404874-102415757	0	2	0	0	0	0	0	0
chr1-102950681-102955928	0	1	0	1	0	0	0	0
chr1-103235980-103237999	0	0	0	1	0	0	0	0
chr1-104743531-104746856	0	0	0	1	0	0	0	0
chr1-104763818-104769671	0	0	0	1	0	0	0	0
chr1-104910710-104917075	0	0	0	0	0	0	0	0
chr1-105356637-105358031	0	0	0	0	0	0	0	0
chr1-105572527-105575929	0	0	0	0	0	0	0	0
chr1-105655269-105660272	0	0	0	0	0	0	0	0
chr1-105660273-105664919	0	0	0	0	0	0	0	0
chr1-105780201-105781350	0	0	0	0	0	0	0	0
chr1-105944588-105946715	0	0	0	0	0	0	0	0
chr1-105988885-105992365	0	0	0	0	0	0	0	0
chr1-106170999-106174584	0	0	0	0	1	0	0	0
chr1-106540270-106542808	0	0	0	0	0	0	0	0
chr1-106713507-106717411	0	0	0	0	0	0	0	0
chr1-106758906-106760678	0	0	0	0	0	0	0	0
chr1-106793321-106800261	0	0	0	0	0	0	0	0
chr1-106857318-106862456	0	0	0	0	0	0	0	0
chr1-106933463-106935375	0	0	0	0	0	0	0	0
chr1-106979893-106987274	0	0	0	0	0	0	0	0
chr1-10718450-10721225	0	1	0	0	0	0	0	0
chr1-107358947-107363284	0	0	0	0	0	0	0	0
chr1-107398750-107401340	0	0	0	0	0	0	0	0
chr1-107436073-107440394	0	0	0	0	0	0	0	0
chr1-107506242-107512652	0	0	0	0	0	0	0	0
chr1-107528164-107529332	0	2	0	0	0	0	2	0
chr1-107589372-107593139	0	2	0	0	0	0	2	0
chr1-107891962-107894254	0	0	0	0	0	0	0	0
chr1-109620464-109629721	0	0	0	0	0	0	0	0
chr1-10993042-10996281	0	3	0	1	0	0	0	0
chr1-109971492-109984679	0	0	0	0	0	0	0	0
chr1-110976070-110983402	0	0	0	0	0	0	0	0
chr1-11132850-11134927	0	0	0	0	1	0	0	0
chr1-111861432-111865602	0	0	0	0	0	0	0	0
chr1-112467446-112469051	0	0	0	0	0	0	0	0
chr1-113715617-113718072	0	0	0	0	0	0	0	0
chr1-11413257-11415695	2	2	0	0	0	0	0	0
chr1-115683898-115692496	0	0	0	0	0	0	0	0
chr1-117533412-117538318	0	0	0	0	0	0	0	0
chr1-118308437-118312820	0	0	0	0	0	0	0	0
chr1-118320766-118324033	0	0	0	0	0	0	0	0
chr1-118386673-118391080	0	0	0	0	1	0	0	0
chr1-118447198-118454800	0	0	0	0	1	0	0	0
chr1-118458454-118467857	0	0	0	0	1	0	0	0
chr1-118476957-118487847	0	0	0	0	1	0	0	0
chr1-118624377-118630226	0	0	0	0	0	0	0	0
chr1-118680408-118684722	0	0	0	0	0	0	0	0
chr1-119047007-119056814	0	0	0	0	0	0	0	0
chr1-119411235-119430088	0	0	0	0	0	1	0	0
chr1-119492422-119506676	0	0	0	0	0	0	0	0
chr1-119517115-119533645	0	0	0	0	0	0	0	0
chr1-119631904-119652826	0	0	0	0	0	0	0	0
chr1-119835498-119842013	0	0	0	0	0	0	0	0
chr1-119908406-119913447	0	0	0	0	0	0	0	0
chr1-119995492-119998406	0	0	0	0	0	0	0	0
chr1-120003571-120009389	0	0	0	0	0	0	0	0
chr1-120070607-120074148	0	0	0	0	0	0	0	0
chr1-120115041-120122027	0	0	0	0	0	0	0	0
chr1-120269533-120273333	0	0	0	0	0	0	0	0
chr1-120340215-120350576	0	0	0	0	0	0	0	0
chr1-120504783-120505289	0	0	0	0	0	0	0	0
chr1-120599378-120608279	0	0	0	0	0	0	0	0
chr1-121330008-121333427	0	0	0	0	0	0	0	0
chr1-121429461-121438418	0	0	0	0	0	0	0	0
chr1-121524920-121531668	0	0	0	1	0	0	0	0
chr1-121566205-121576048	0	0	0	0	0	0	0	0
chr1-122508727-122514868	0	0	0	0	0	0	0	0
chr1-122546151-122565282	0	0	0	0	0	0	0	0
chr1-123092963-123097973	0	0	0	2	0	0	0	0
chr1-123386036-123394211	0	0	0	0	0	0	0	0
chr1-124042459-124048558	0	0	0	0	0	0	0	0
chr1-124486798-124491644	0	0	0	0	0	0	0	0
chr1-125432642-125436869	0	0	0	0	0	0	0	0
chr1-125558817-125564227	0	0	0	0	0	0	0	0
